date,cases_new,cases_import,cases_recovered,cases_active,cases_cluster,cases_pvax,cases_fvax,cases_child,cases_adolescent,cases_adult,cases_elderly,cluster_import,cluster_religious,cluster_community,cluster_highRisk,cluster_education,cluster_detentionCentre,cluster_workplace,cumul_partial,cumul_full
7/5/2021,4498,5,3449,34651,1132,61,18,626,369,2982,498,0,110,213,2,168,4,376,1066841,671935
8/5/2021,4519,5,2719,36422,993,52,16,502,303,3044,521,0,91,124,5,67,10,433,1085456,680334
9/5/2021,3733,6,3211,36923,856,43,25,445,236,2610,405,0,54,143,8,83,4,378,1111260,686918
10/5/2021,3807,5,3454,37241,782,63,22,465,295,2538,484,0,129,216,0,84,1,210,1147890,711703
11/5/2021,3973,5,2848,38322,1001,46,32,453,294,2782,415,0,90,137,18,207,0,181,1178347,730106
12/5/2021,4765,7,3124,39913,1004,61,26,474,318,3359,570,0,38,169,4,137,46,382,1188651,737918
13/5/2021,4855,3,3347,41383,1062,77,29,471,483,3295,561,0,69,180,3,255,0,323,1188762,737925
14/5/2021,4113,1,4190,41262,994,89,24,469,268,2757,574,0,111,215,28,52,0,383,1188823,737932
15/5/2021,4140,9,3432,41922,999,92,34,456,229,2790,589,0,169,179,13,57,29,397,1199126,738524
16/5/2021,3780,2,3990,41668,914,80,25,418,268,2564,501,0,158,111,3,49,0,262,1209105,738851
17/5/2021,4446,3,2784,43279,852,85,33,438,311,2997,662,0,131,203,7,74,0,230,1241538,766959
18/5/2021,4865,5,3497,44589,867,87,47,538,326,3345,637,0,158,182,6,74,0,181,1287207,799249
19/5/2021,6075,3,3516,47096,1547,101,64,625,384,4230,761,0,267,193,1,107,0,687,1337271,833268
20/5/2021,6806,2,3916,49940,1594,117,73,686,476,4760,815,0,359,230,16,158,0,527,1396393,855175
21/5/2021,6493,2,4508,51865,1243,106,88,706,420,4569,742,0,310,149,1,75,2,362,1438560,873946
22/5/2021,6320,3,4694,53407,1318,127,84,799,433,4183,809,0,240,230,25,38,0,365,1481742,877124
23/5/2021,6976,9,3587,56727,1586,135,100,878,446,4612,879,0,336,317,15,50,6,422,1519679,885491
24/5/2021,6509,26,3452,59718,1481,117,92,810,477,4482,679,19,244,310,25,45,12,505,1589249,911513
25/5/2021,7289,4,3789,63144,1388,130,96,956,537,4939,811,0,278,312,43,43,0,367,1658814,942203
26/5/2021,7478,5,4665,65866,1288,125,107,972,497,5113,808,0,259,234,5,63,0,411,1679108,944102
27/5/2021,7857,9,4598,69062,1495,147,127,1013,572,5388,817,0,247,311,14,43,48,335,1737811,993568
28/5/2021,8290,2,4814,72433,1842,150,113,1100,626,5560,849,0,294,298,7,57,60,625,1784603,1020995
29/5/2021,9020,6,5527,75851,1704,163,144,1224,607,6125,886,0,328,385,18,30,78,486,1835596,1035971
30/5/2021,6999,4,5121,77620,1366,140,94,959,486,4639,734,0,161,641,117,399,0,1091,1873934,1060302
31/5/2021,6824,3,5251,79096,1331,138,102,1022,515,4446,726,0,148,268,14,33,0,620,1941494,1088882
1/6/2021,7105,2,6083,80024,1362,154,123,990,516,4802,742,0,201,309,22,33,0,469,2016790,1113267
2/6/2021,7703,2,5777,81863,1434,166,136,1053,522,5248,682,0,145,265,16,24,54,538,2113618,1123109
3/6/2021,8209,64,7049,82913,1820,142,132,959,544,5743,760,54,197,270,3,22,5,903,2224787,1130911
4/6/2021,7748,2,6624,83954,1708,181,122,978,498,5275,715,0,83,213,4,70,2,879,2311024,1135845
5/6/2021,7452,8,6105,85211,1727,155,121,963,482,5033,701,0,148,274,17,8,66,791,2383067,1137233
6/6/2021,6241,14,5133,86240,1290,164,111,880,380,4266,544,0,64,250,3,35,58,601,2463916,1138805
7/6/2021,5271,14,7548,83881,1113,147,118,703,374,3650,502,0,66,233,31,34,11,442,2524530,1143897
8/6/2021,5566,4,6962,82412,1522,143,84,698,366,3872,477,0,72,268,72,31,7,830,2632617,1190003
9/6/2021,6239,11,7386,81172,1397,152,110,781,417,4268,558,0,47,212,23,28,109,589,2748632,1230575
10/6/2021,5671,8,7325,79450,1453,154,122,778,402,3882,525,0,66,218,21,48,4,825,2862139,1277823
11/6/2021,6849,4,7749,78484,2429,195,110,719,414,4770,496,0,39,185,45,22,30,1865,2958266,1307999
12/6/2021,5793,6,8334,75861,1517,160,108,743,391,3905,489,1,28,233,24,12,44,859,3061149,1341999
13/6/2021,5304,5,8163,72929,1622,154,89,668,339,3656,407,0,39,201,13,33,0,931,3165605,1368869
14/6/2021,4949,6,6588,71199,1458,171,89,603,341,3451,460,0,13,144,46,15,35,881,3312379,1424555
15/6/2021,5419,6,6831,69709,1591,183,98,704,364,3641,530,0,25,218,65,4,3,843,3478320,1480535
16/6/2021,5150,3,7240,67538,1141,220,91,655,362,3479,487,0,7,130,46,4,2,618,3683296,1488712
17/6/2021,5738,3,7530,65665,1692,208,105,712,395,4111,446,0,12,239,16,7,31,1094,3867138,1532881
18/6/2021,6440,5,6861,65164,2338,198,109,718,336,4175,469,0,18,158,49,1,101,1348,4019220,1565469
19/6/2021,5911,1,6918,64090,2192,269,107,659,338,4175,436,0,10,266,82,23,263,1163,4153850,1601616
20/6/2021,5293,7,5941,63367,1835,204,74,661,349,3554,375,0,19,192,33,4,78,1116,4274965,1625787
21/6/2021,4611,8,5439,62458,1783,228,82,565,312,3103,365,0,3,312,16,1,221,917,4464873,1680269
22/6/2021,4743,2,5557,61556,1469,278,91,657,286,3261,439,0,10,219,36,15,85,826,4662972,1740951
